Year,Month,Index
1740,Jan,2.687968368
1740,Feb,2.728583285
1740,Mar,2.732398195
1740,Apr,2.726812469
1740,May,2.731911177
1740,Jun,2.618668989
1740,Jul,2.61076924
1740,Aug,2.648810926
1740,Sep,2.651716228
1740,Oct,2.686875267
1740,Nov,2.705977614
1740,Dec,2.702362946
1741,Jan,2.772702424
1741,Feb,2.717268834
1741,Mar,2.730685786
1741,Apr,2.719389288
1741,May,2.75562793
1741,Jun,2.730385678
1741,Jul,2.796998092
1741,Aug,2.739134546
1741,Sep,2.706489243
1741,Oct,2.754116158
1741,Nov,2.69297671
1741,Dec,2.744270079
1742,Jan,2.739559398
1742,Feb,2.82829061
1742,Mar,2.870660574
1742,Apr,2.891597836
1742,May,2.85753392
1742,Jun,2.868875374
1742,Jul,2.884345526
1742,Aug,2.934521502
1742,Sep,2.941385401
1742,Oct,2.940744405
1742,Nov,2.941662846
1742,Dec,2.95633672
1743,Jan,3.002337907
1743,Feb,3.089067618
1743,Mar,3.011849495
1743,Apr,3.052798532
1743,May,2.999090346
1743,Jun,3.023677941
1743,Jul,3.057253095
1743,Aug,3.046004923
1743,Sep,3.0825853
1743,Oct,3.071868931
1743,Nov,2.920050338
1743,Dec,2.812004068
1744,Jan,2.830855152
1744,Feb,2.847551841
1744,Mar,2.914934541
1744,Apr,2.94685025
1744,May,2.92808529
1744,Jun,2.943691985
1744,Jul,2.942734632
1744,Aug,2.989374077
1744,Sep,2.985328916
1744,Oct,2.93706402
1744,Nov,2.934323328
1744,Dec,2.947813578
1745,Jan,2.99143417
1745,Feb,2.991272449
1745,Mar,2.992906824
1745,Apr,2.914374126
1745,May,2.838302097
1745,Jun,2.776353511
1745,Jul,2.777739561
1745,Aug,2.706848911
1745,Sep,2.55649258
1745,Oct,2.525424555
1745,Nov,2.463696183
1745,Dec,2.518071634
1746,Jan,2.628217625
1746,Feb,2.639142375
1746,Mar,2.712370957
1746,Apr,2.821166561
1746,May,2.876334892
1746,Jun,2.873970207
1746,Jul,2.79748174
1746,Aug,2.730565311
